DADOS GERAIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BSW;89,55;;%;;;;;;;;;;;
RGO da formação;58,4;m³/m³;;;;;;;;;;;;
Densidade do gás produzido;0,636;;(ar = 1,0);;;;;;;;;;;
Dist. mesa rot. cab. produção;1.333,00;m;;;;;;;;;;;;
Temperatura ambiente a jusante (produção);25;°C;;;;;;;;;;;;
Temperatura ambiente na árvore (injeção);3,4;°C;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CÁLCULO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pressão de tubo;;;Variável de Sensibilidade;;;;;;;;;;;
Pressão de injeção;198,95;kgf/cm²;man.;;;;;;;;;;;
 - Vazão Estimada de injeção;;m³/d;;;;;;;;;;;;
 - Convergir Vazão de Injeção;;;NÃO;;;;;;;;;;;
Cálculo térmico;;;SIM;;;;;;;;;;;
Correlação para Válvula de Pressão;;;Standard;;;;;;;;;;;
Correlação para Válvula de Orifício;;;T-C modificado;;;;;;;;;;;
Correlação para Válvula de Venturi;;;T-C modificado;;;;;;;;;;;
Fator correção para válvula;;;0,29;;;;;;;;;;;
Densidade do gás de injeção;0,641;;(ar = 1,0);;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CONTORNO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pjus e IPR Conhecidos, Calcula Vazão de Equilíbrio;;;;;;;;;;;;;;
Tipo de IPR;;;Linear;;;;;;;;;;;
41;17,5;306,6;2.933,50;75;164,09;72,51;;;;;;;;
41;20;297,2;2.844,00;75;166,58;74,34;;;;;;;;
41;22,5;287,6;2.752,00;74,9;169,01;76,11;;;;;;;;
41;25;277,7;2.657,20;74,8;171,4;77,82;;;;;;;;
41;27,5;267,4;2.559,20;74,7;173,76;79,5;;;;;;;;
41;30;256,8;2.457,60;74,6;176,09;81,13;;;;;;;;
41;32,5;245,8;2.352,20;74,5;178,39;82,73;;;;;;;;
41;35;234,3;2.242,50;74,3;180,68;84,3;;;;;;;;
41;37,5;222,4;2.128,10;74,2;182,95;85,85;;;;;;;;
41;40;209,9;2.008,30;74;185,22;87,38;;;;;;;;
41;42,5;196,6;1.881,70;73,8;187,48;88,89;;;;;;;;
41;45;182,6;1.747,20;73,5;189,75;90,38;;;;;;;;
41;47,5;167,5;1.602,70;73,2;192,02;91,84;;;;;;;;
41;50;151,1;1.446,00;72,8;194,31;93,3;;;;;;;;
42;10;347,7;3.327,50;75,3;157,02;68,5;;;;;;;;
42;12,5;339,1;3.244,80;75,3;159,76;70,58;;;;;;;;
42;15;330,5;3.162,30;75,2;162,4;72,57;;;;;;;;
42;17,5;321,8;3.079,30;75,2;164,95;74,48;;;;;;;;
42;20;313;2.995,00;75,1;167,44;76,33;;;;;;;;
42;22,5;304;2.908,90;75;169,87;78,11;;;;;;;;
42;25;294,7;2.820,50;75;172,26;79,85;;;;;;;;
42;27,5;285,2;2.729,30;74,9;174,62;81,55;;;;;;;;
42;30;275,4;2.635,10;74,8;176,94;83,2;;;;;;;;
42;32,5;265,2;2.537,60;74,7;179,24;84,82;;;;;;;;
42;35;254,6;2.436,60;74,6;181,51;86,41;;;;;;;;
42;37,5;243,7;2.331,70;74,5;183,78;87,98;;;;;;;;
42;40;232,3;2.222,50;74,3;186,03;89,52;;;;;;;;
42;42,5;220,3;2.108,60;74,1;188,27;91,05;;;;;;;;
42;45;207,8;1.989,00;74;190,51;92,55;;;;;;;;
42;47,5;194,6;1.862,50;73,7;192,74;94,03;;;;;;;;
42;50;180,6;1.728,00;73,5;194,98;95,5;;;;;;;;
43;10;361,3;3.457,80;75,4;157,93;70,46;;;;;;;;
43;12,5;353,1;3.378,80;75,4;160,66;72,55;;;;;;;;
43;15;344,9;3.300,10;75,3;163,29;74,55;;;;;;;;
43;17,5;336,6;3.221,30;75,3;165,84;76,47;;;;;;;;
43;20;328,3;3.141,70;75,2;168,33;78,34;;;;;;;;
43;22,5;319,8;3.060,60;75,2;170,76;80,14;;;;;;;;
43;25;311,2;2.977,60;75,1;173,15;81,91;;;;;;;;
43;27,5;302,3;2.892,40;75;175,5;83,62;;;;;;;;
43;30;293,1;2.804,60;74,9;177,82;85,3;;;;;;;;
43;32,5;283,6;2.714,00;74,9;180,12;86,94;;;;;;;;
43;35;273,8;2.620,30;74,8;182,39;88,55;;;;;;;;
43;37,5;263,7;2.523,40;74,7;184,64;90,13;;;;;;;;
43;40;253,2;2.422,90;74,6;186,88;91,69;;;;;;;;
43;42,5;242,3;2.318,50;74,4;189,11;93,23;;;;;;;;
43;45;230,9;2.210,00;74,3;191,33;94,75;;;;;;;;
43;47,5;219,1;2.096,60;74,1;193,55;96,25;;;;;;;;
43;50;206,6;1.977,40;73,9;195,76;97,74;;;;;;;;
44;10;374,8;3.586,20;75,5;158,86;72,47;;;;;;;;
44;12,5;366,8;3.510,50;75,5;161,59;74,56;;;;;;;;
44;15;359;3.435,40;75,4;164,21;76,56;;;;;;;;
44;17,5;351,1;3.360,20;75,4;166,76;78,5;;;;;;;;
44;20;343,2;3.284,50;75,3;169,24;80,38;;;;;;;;
44;22,5;335,2;3.207,80;75,3;171,67;82,2;;;;;;;;
44;25;327;3.129,60;75,2;174,06;83,98;;;;;;;;
44;27,5;318,7;3.049,60;75,1;176,42;85,72;;;;;;;;
44;30;310,1;2.967,40;75,1;178,74;87,41;;;;;;;;
44;32,5;301,2;2.882,80;75;181,03;89,08;;;;;;;;
44;35;292,1;2.795,50;74,9;183,3;90,71;;;;;;;;
44;37,5;282,7;2.705,40;74,8;185,55;92,31;;;;;;;;
44;40;273;2.612,20;74,8;187,78;93,89;;;;;;;;
44;42,5;262,9;2.515,90;74,7;190;95,44;;;;;;;;
44;45;252,5;2.416,10;74,6;192,21;96,98;;;;;;;;
44;47,5;241,7;2.312,50;74,4;194,42;98,49;;;;;;;;
44;50;230,4;2.204,60;74,3;196,61;100;;;;;;;;
45;10;388;3.713,00;75,6;159,82;74,5;;;;;;;;
45;12,5;380,4;3.640,30;75,5;162,54;76,6;;;;;;;;
45;15;372,9;3.568,30;75,5;165,16;78,61;;;;;;;;
45;17,5;365,4;3.496,40;75,4;167,7;80,56;;;;;;;;
45;20;357,8;3.424,20;75,4;170,18;82,44;;;;;;;;
45;22,5;350,2;3.351,20;75,4;172,61;84,28;;;;;;;;
45;25;342,5;3.277,20;75,3;175;86,08;;;;;;;;
45;27,5;334,6;3.201,70;75,3;177,36;87,83;;;;;;;;
45;30;326,5;3.124,40;75,2;179,68;89,55;;;;;;;;
45;32,5;318,2;3.045,00;75,1;181,97;91,23;;;;;;;;
45;35;309,7;2.963,30;75,1;184,24;92,89;;;;;;;;
45;37,5;300,9;2.879,30;75;186,49;94,51;;;;;;;;
45;40;291,8;2.792,50;74,9;188,72;96,11;;;;;;;;
45;42,5;282,5;2.703,00;74,8;190,93;97,68;;;;;;;;
45;45;272,8;2.610,40;74,8;193,14;99,23;;;;;;;;
45;47,5;262,8;2.514,80;74,7;195,33;100,76;;;;;;;;
45;50;252,5;2.415,80;74,6;197,52;102,28;;;;;;;;
46;10;401,1;3.838,30;75,6;160,8;76,58;;;;;;;;
46;12,5;393,8;3.768,40;75,6;163,52;78,68;;;;;;;;
46;15;386,6;3.699,20;75,6;166,13;80,7;;;;;;;;
46;17,5;379,4;3.630,30;75,5;168,67;82,65;;;;;;;;
46;20;372,1;3.561,20;75,5;171,15;84,54;;;;;;;;
